"R","n","onTop","density","density2","indicator"
0.33,3,0.000013049318486052492,0.005334038112318515,0.000028451962583666464,0.9172877581066249
0.33,4,8.266314789799144e-8,0.0007758640362074116,6.019650026800557e-7,0.274644364805131
0.33,5,1.0020604179982094e-9,0.00016530513247585473,2.732578682285988e-8,0.07334174305714174
0.33,6,1.7548388294816993e-11,0.00004401459475782857,1.93728455169587e-9,0.018116479873290063
0.34,2,0.009487564230479202,0.08580139685757385,0.007361879702710883,2.577484178934783
0.34,3,0.000013031844109728068,0.005332821745936906,0.00002843898777393755,0.9164773523810781
0.34,4,8.262268597963805e-8,0.0007758713380147576,6.019763331528103e-7,0.27450476515216915
0.34,5,1.0018275270208153e-9,0.000165313311950503,2.7328491108044316e-8,0.07331744171751371
0.34,6,1.7546136087304005e-11,0.000044016901049452465,1.9374875779972895e-9,0.018112256601346376
0.35000000000000003,2,0.00942232537019186,0.08559474577173579,0.007326460503728081,2.572135716939249
0.35000000000000003,3,0.000013013872568072471,0.005331568441175697,0.000028425622042940648,0.9156438193973946
0.35000000000000003,4,8.258103694363363e-8,0.0007758788217297048,6.019879460086751e-7,0.2743610980623973
0.35000000000000003,5,1.0015877406481977e-9,0.00016532173309657039,2.7331275434053656e-8,0.0732924259656218
0.35000000000000003,6,1.7543816951841523e-11,0.0000440192759553548,1.937696655633677e-9,0.018107908583972075
0.36000000000000004,2,0.00935566378871171,0.08538249608665835,0.0072901706379882285,2.566651523891756
0.36000000000000004,3,0.000012995405983403925,0.005330278143958233,0.00002841186509195883,0.9147872511250171
0.36000000000000004,4,8.253820260546671e-8,0.000775886484185429,6.019998363416259e-7,0.2742133722396147
0.36000000000000004,5,1.001341063857859e-9,0.000165330395694494,2.7334139740497964e-8,0.0732666967656043
0.36000000000000004,6,1.7541430915045382e-11,0.00004402171945522876,1.9379117837948665e-9,0.01810343593731116
0.37,2,0.009287616119235793,0.08516468136459929,0.007253022951933725,2.5610331528758294
0.37,3,0.000012976446534433733,0.005328950798844159,0.000028397716616501802,0.9139077419269105
0.37,4,8.249418483165295e-8,0.0007758943221254348,6.02011999106488e-7,0.27406159662628526
0.37,5,1.0010875017695022e-9,0.00016533929951839332,2.733708396523298e-8,0.07324025510860448
0.37,6,1.7538978004296773e-11,0.0000440242315281804,1.9381329616468332e-9,0.01809883878079643
0.38,2,0.009218219560731976,0.08494133610963679,0.007215030580090287,2.555282187207756
0.38,3,0.000012956996455837918,0.005327586349046546,0.000028383176306547103,0.9130053885370927
0.38,4,8.244898553959953e-8,0.0007759023322037351,6.020244291191952e-7,0.27390578040239427
0.38,5,1.0008270596448536e-9,0.0001653484443360738,2.7340108044359694e-8,0.07321310201269125
0.38,6,1.7536458247741698e-11,0.00004402681215272856,1.938360188331647e-9,0.018094117237142993
0.39,2,0.009147511844177772,0.08471249576609303,0.0071762069389203305,2.5494002394401485
0.39,3,0.000012937058037818299,0.005326184736449437,0.000028368243846786964,0.9120802900376628
0.39,4,8.240260669746596e-8,0.0007759105109850378,6.020371210570625e-7,0.2737459329842741
0.39,5,1.000559742887481e-9,0.00016535782990903126,2.7343211912224113e-8,0.0731852385227771
0.39,6,1.753387167429046e-11,0.000044029461306805046,1.9385934629674428e-9,0.018089271432341486
